old_slug,title,proposed_slug,status,basis_source
unlock-efficient-downloads-with-the-best-free-download-manager-chrome-extension-mmdupg128fq,Unlock Efficient Downloads with the Best Free Download Manager Chrome Extension,the-best-free-download-manager-for-chrome,ok,seo_title
unlock-the-full-potential-of-youtube-the-best-youtube-extensions-chrome-has-to-offer-mmdz4d36x0y,Unlock the Full Potential of YouTube: The Best YouTube Extensions Chrome Has to Offer,the-best-youtube-extensions-for-chrome,ok,seo_title
unlock-the-power-of-video-downloading-the-best-chrome-extension-for-youtube-downloader-mmdz4da9s5b,Unlock the Power of Video Downloading: The Best Chrome Extension for YouTube Downloader,a-reliable-youtube-downloader-for-chrome,ok,seo_title
unlock-the-power-of-music-the-best-chrome-extension-to-download-youtube-music-mmdz4dln1vq,Unlock the Power of Music: The Best Chrome Extension to Download YouTube Music,download-youtube-music-right-from-chrome,ok,seo_title
unlock-your-full-potential-the-best-youtube-productivity-extensions-for-a-more-efficient-you-mmdz7y38wml,Unlock Your Full Potential: The Best YouTube Productivity Extensions for a More Efficient You,youtube-extensions-that-actually-save-you-time,ok,seo_title
discover-the-best-chrome-extension-to-repeat-youtube-videos-for-enhanced-productivity-and-focus-mmdz7yi813q,Discover the Best Chrome Extension to Repeat YouTube Videos for Enhanced Productivity and Focus,loop-youtube-videos-with-this-chrome-extension,ok,seo_title
enhance-your-youtube-experience-with-a-chrome-extension-to-control-youtube-speed-mmdz7yn2v3z,Enhance Your YouTube Experience with a Chrome Extension to Control YouTube Speed,control-youtube-playback-speed-in-chrome,ok,seo_title
enhance-your-online-security-with-the-best-secure-browsing-chrome-extensions-mmdzl0rd465,Enhance Your Online Security with the Best Secure Browsing Chrome Extensions,extensions-that-make-chrome-browsing-safer,ok,seo_title
unlocking-secure-browsing-a-guide-to-the-best-chrome-vpn-extension-free-options-mmdzl1ass5x,Unlocking Secure Browsing: A Guide to the Best Chrome VPN Extension Free Options,free-vpn-extensions-worth-trying-in-chrome,ok,seo_title
enhance-your-online-security-with-the-best-chrome-extension-to-protect-privacy-mmdzl1g2wkc,Enhance Your Online Security with the Best Chrome Extension to Protect Privacy,a-chrome-extension-built-for-your-privacy,ok,seo_title
discover-the-best-popup-blocker-chrome-extension-for-a-seamless-browsing-experience-mme0iwwwapy,Discover the Best Popup Blocker Chrome Extension for a Seamless Browsing Experience,the-popup-blocker-worth-trying-on-chrome,ok,seo_title
effective-solutions-finding-the-best-chrome-extension-to-stop-popups-for-a-seamless-browsing-experie-mme0ixmzt1f,Effective Solutions: Finding the Best Chrome Extension to Stop Popups for a Seamless Browsing Experience,finally-stop-popups-with-this-chrome-extension,ok,seo_title
discover-the-best-ad-blocking-extension-for-chrome-boost-your-browsing-experience-mme0ixsa1fx,Discover the Best Ad Blocking Extension for Chrome: Boost Your Browsing Experience,an-ad-blocking-extension-that-actually-works,ok,seo_title
discover-the-power-of-a-lightweight-ad-blocker-chrome-boost-your-browsing-experience-mme0ixxxqdz,Discover the Power of a Lightweight Ad Blocker Chrome: Boost Your Browsing Experience,a-lightweight-ad-blocker-for-chrome,ok,seo_title
effortlessly-remove-annoying-ads-with-the-best-chrome-extension-to-remove-ads-mme0iyd1klm,Effortlessly Remove Annoying Ads with the Best Chrome Extension to Remove Ads,the-chrome-extension-that-removes-ads-for-good,ok,seo_title
unlock-a-seamless-youtube-experience-the-best-ad-blocker-that-works-on-youtube-chrome-mme0iyicafq,Unlock a Seamless YouTube Experience: The Best Ad Blocker that Works on YouTube Chrome,an-ad-blocker-that-actually-works-on-youtube,ok,seo_title
discover-the-best-popup-blocker-for-chrome-2026-boost-your-browsing-experience-mmtlczhct0y,Discover the Best Popup Blocker for Chrome 2026: Boost Your Browsing Experience,the-best-popup-blocker-for-chrome-in-2026,ok,seo_title
discover-the-best-no-ads-chrome-extension-2026-for-a-seamless-browsing-experience-mmtld2uhhvw,Discover the Best No Ads Chrome Extension 2026 for a Seamless Browsing Experience,the-no-ads-chrome-extension-worth-installing,ok,seo_title
unlock-the-power-of-color-with-the-best-color-picker-chrome-extension-free-mmtm0ezx77j,Unlock the Power of Color with the Best Color Picker Chrome Extension Free,a-free-color-picker-extension-for-chrome,ok,seo_title
unlocking-the-power-of-website-analysis-a-comprehensive-wappalyzer-chrome-extension-guide-mmtm0ggk7gb,Unlocking the Power of Website Analysis: A Comprehensive Wappalyzer Chrome Extension Guide,wappalyzer-for-chrome-what-it-can-tell-you,ok,seo_title
unlocking-productivity-the-best-chrome-extension-for-programmers-to-boost-coding-efficiency-mmtm0gk4vfm,Unlocking Productivity: The Best Chrome Extension for Programmers to Boost Coding Efficiency,a-chrome-extension-built-for-programmers,ok,seo_title
discover-the-best-font-finder-extension-chrome-to-elevate-your-design-game-mmtm0gyrx36,Discover the Best Font Finder Extension Chrome to Elevate Your Design Game,identify-any-font-on-a-page-instantly,ok,seo_title
discover-the-best-image-downloader-chrome-extension-for-effortless-image-saving-mmtvrb6wws4,Discover the Best Image Downloader Chrome Extension for Effortless Image Saving,an-image-downloader-extension-for-chrome,ok,seo_title
discover-the-safest-youtube-to-mp3-extension-2026-for-seamless-music-downloads-mmtvrbpdu1p,Discover the Safest YouTube to MP3 Extension 2026 for Seamless Music Downloads,the-safest-youtube-to-mp3-extension-in-2026,ok,seo_title
discover-the-fastest-video-downloader-chrome-extension-for-seamless-video-saving-mmtvrj66p5v,Discover the Fastest Video Downloader Chrome Extension for Seamless Video Saving,the-fastest-video-downloader-for-chrome,ok,seo_title
unlocking-efficient-browsing-extensions-boosting-productivity-and-streamlining-your-online-experienc-mmtizywhjd8,Unlocking Efficient Browsing Extensions: Boosting Productivity and Streamlining Your Online Experience,unlocking-efficient-browsing-extensions,ok,seo_title
discover-the-best-tab-management-extensions-2026-for-a-more-efficient-browsing-experience-mmtizy1dudi,Discover the Best Tab Management Extensions 2026 for a More Efficient Browsing Experience,the-tab-management-extensions-worth-using,ok,seo_title
unlock-the-full-potential-of-your-mobile-device-discover-the-best-mobile-browser-with-chrome-store-s-mmthp0npy6z,Unlock the Full Potential of Your Mobile Device: Discover the Best Mobile Browser with Chrome Store Support,mobile-browsers-that-support-chrome-extensions,ok,seo_title
unlocking-the-power-of-chrome-how-to-use-a-chrome-extension-for-android-phone-mmthp0ezfp7,Unlocking the Power of Chrome: How to Use a Chrome Extension for Android Phone,using-a-chrome-extension-on-your-android-phone,ok,seo_title
best-chrome-extensions-for-old-pcs-with-4gb-ram-boosting-performance-and-productivity-mmb7srvijtp,Best Chrome Extensions for Old PCs with 4GB RAM: Boosting Performance and Productivity,best-chrome-extensions-for-pcs-with-4gb-ram,ok,seo_title
discover-the-best-lemur-browser-extensions-download-for-enhanced-browsing-experience-mmthozyfc2j,Discover the Best Lemur Browser Extensions Download for Enhanced Browsing Experience,getting-extensions-to-work-on-lemur-browser,ok,seo_title
unlock-the-power-of-a-seamless-browsing-experience-the-ultimate-guide-to-chrome-pop-up-blocker-mm3scphqdyd,Unlock the Power of a Seamless Browsing Experience: The Ultimate Guide to Chrome Pop Up Blocker,chrome-pop-up-blocker,ok,seo_title
discover-the-best-extension-to-suspend-tabs-and-boost-your-browsers-performance-mmtizxlm6h1,Discover the Best Extension to Suspend Tabs and Boost Your Browser's Performance,a-tab-suspender-extension-that-frees-up-ram,ok,seo_title
is-ghostery-safe-to-use-a-professional-2026-review-mmb7ltlowx4,Is Ghostery Safe to Use? A Professional 2026 Review,is-ghostery-safe-a-closer-look-for-2026,ok,seo_title
optimizing-browser-performance-how-to-limit-chrome-ram-usage-with-the-right-extension-mmtizx78iml,Optimizing Browser Performance: How to Limit Chrome RAM Usage with the Right Extension,the-right-extension-to-cap-chromes-ram-usage,ok,seo_title
top-alternatives-to-ghostery-for-chrome-browser-boosting-privacy-and-security-mmb7ltgtqdm,Top Alternatives to Ghostery for Chrome Browser: Boosting Privacy and Security,ghostery-alternatives-worth-checking-out,ok,seo_title
unlocking-the-power-of-chrome-how-to-enable-chrome-memory-saver-mode-for-a-seamless-browsing-experie-mmthx9ioyu8,Unlocking the Power of Chrome: How to Enable Chrome Memory Saver Mode for a Seamless Browsing Experience,how-to-turn-on-chromes-memory-saver-mode,ok,seo_title
discover-the-best-android-browser-for-extensions-to-enhance-your-mobile-browsing-experience-mmthow5z77c,Discover the Best Android Browser for Extensions to Enhance Your Mobile Browsing Experience,which-android-browser-handles-extensions-best,ok,seo_title
top-5-privacy-and-security-extensions-for-chrome-mobile-protect-your-online-identity-mmb7lsz3swu,Top 5 Privacy and Security Extensions for Chrome Mobile: Protect Your Online Identity,5-privacy-extensions-for-chrome-mobile,ok,seo_title
kiwi-browser-extensions-guide-unlocking-the-full-potential-of-your-mobile-browser-mmthoutft7f,Kiwi Browser Extensions Guide: Unlocking the Full Potential of Your Mobile Browser,kiwi-browser-extensions-a-full-guide,ok,seo_title
how-to-enable-chrome-extensions-on-android-mobile-unlocking-enhanced-browsing-mmb7lsj2jtx,How to Enable Chrome Extensions on Android Mobile: Unlocking Enhanced Browsing,how-to-enable-extensions-in-chrome-android,ok,seo_title
best-ad-blocker-for-chrome-android-2026-no-root-boost-your-mobile-browsing-experience-mmb7ls8d81s,Best Ad blocker for Chrome Android 2026 (No Root): Boost Your Mobile Browsing Experience,the-best-no-root-ad-blocker-for-chrome-android,ok,seo_title
unlock-the-power-of-a-free-pop-up-blocker-chrome-extension-for-a-seamless-browsing-experience-mm3scnkaas3,Unlock the Power of a Free Pop Up Blocker Chrome Extension for a Seamless Browsing Experience,a-free-pop-up-blocker-extension-for-chrome,ok,seo_title
unlocking-the-power-of-ad-blockers-boosting-your-browsing-experience-with-light-popup-blocker-mm3scnflwya,Unlocking the Power of Ad-Blockers: Boosting Your Browsing Experience with Light Popup Blocker,light-popup-blocker-a-lighter-ad-blocker,ok,seo_title
unlock-faster-downloads-with-idm-extension-for-chrome-free-download-latest-version-mmb6y473kzg,Unlock Faster Downloads with IDM Extension for Chrome Free Download Latest Version,the-latest-idm-extension-for-chrome-free,ok,seo_title
stop-trackers-chrome-protect-your-online-privacy-with-effective-solutions-mm3scn1bz3l,Stop Trackers Chrome: Protect Your Online Privacy with Effective Solutions,stop-trackers-chrome,ok,seo_title
unlock-the-power-of-meta-pixel-finding-the-best-meta-pixel-extensions-for-shopify-stores-mmb6y3rzty1,Unlock the Power of Meta Pixel: Finding the Best Meta Pixel Extensions for Shopify Stores,meta-pixel-extensions-built-for-shopify-stores,ok,seo_title
enhance-your-online-security-with-the-best-google-chrome-privacy-extensions-mm3scmwbb4a,Enhance Your Online Security with the Best Google Chrome Privacy Extensions,chrome-privacy-extensions-worth-adding-today,ok,seo_title
unlock-the-power-of-meta-pixel-with-the-meta-pixel-helper-chrome-extension-download-link-mmb6y3b2j58,Unlock the Power of Meta Pixel with the Meta Pixel Helper Chrome Extension Download Link,where-to-download-meta-pixel-helper-for-chrome,ok,seo_title
prevent-chrome-from-crashing-with-tab-discarder-boost-browser-performance-and-stability-mll9btbql7m,Prevent Chrome from Crashing with Tab Discarder: Boost Browser Performance and Stability,stop-chrome-from-crashing-with-a-tab-discarder,ok,seo_title
unlocking-efficiency-auto-tab-suspender-extension-free-download-for-a-seamless-browsing-experience-mll9bskiotb,Unlocking Efficiency: Auto Tab Suspender Extension Free Download for a Seamless Browsing Experience,a-free-auto-tab-suspender-extension-for-chrome,ok,seo_title
unlocking-the-power-of-secure-browsing-extensions-like-ghostery-for-a-safer-online-experience-mll9bs3gkw1,Unlocking the Power of Secure Browsing: Extensions like Ghostery for a Safer Online Experience,browsing-extensions-like-ghostery-compared,ok,seo_title
the-ultimate-guide-to-youtube-to-mp4-converter-chrome-extensions-efficiency-safety-and-workflow-opti-mliju7fx72b,"The Ultimate Guide to YouTube to MP4 Converter Chrome Extensions: Efficiency, Safety, and Workflow Optimization",youtube-to-mp4-converter-chrome-extensions,ok,seo_title
discover-the-best-open-source-alternative-to-ghostery-extension-for-enhanced-browser-security-mll9brv9ifz,Discover the Best Open Source Alternative to Ghostery Extension for Enhanced Browser Security,an-open-source-alternative-to-ghostery,ok,seo_title
the-definitive-guide-to-the-best-chrome-plugins-for-media-downloading-in-2025-mliju7acduv,The Definitive Guide to the Best Chrome Plugins for Media Downloading in 2025,the-best-chrome-plugins-for-downloading-media,ok,seo_title
unlocking-the-power-of-a-fast-adblocker-extension-with-no-memory-leak-boosting-browser-performance-mll9brfnaxd,Unlocking the Power of a Fast AdBlocker Extension with No Memory Leak: Boosting Browser Performance,a-fast-ad-blocker-without-the-memory-leaks,ok,seo_title
the-definitive-guide-to-chrome-extension-for-youtube-mp3-320kbps-enhancing-your-high-fidelity-audio-mliju6k2u1n,The Definitive Guide to Chrome Extension for YouTube MP3 320kbps: Enhancing Your High-Fidelity Audio Experience,a-chrome-extension-for-high-quality-mp3s,ok,seo_title
the-ultimate-guide-to-finding-a-fast-youtube-downloader-chrome-plugin-efficiency-security-and-best-p-mliju62cbv5,"The Ultimate Guide to Finding a Fast YouTube Downloader Chrome Plugin: Efficiency, Security, and Best Practices",a-fast-safe-youtube-downloader-for-chrome,ok,seo_title
discover-the-best-ghostery-alternative-for-chrome-enhance-your-browsing-experience-mll9bqi2g1z,Discover the Best Ghostery Alternative for Chrome: Enhance Your Browsing Experience,a-ghostery-alternative-worth-considering,ok,seo_title
the-definitive-guide-to-chrome-extension-download-youtube-video-high-quality-enhancing-your-offline-mliju5mvrvj,The Definitive Guide to Chrome Extension Download YouTube Video High Quality: Enhancing Your Offline Media Experience,downloading-high-quality-youtube-video,ok,seo_title
